	mass D						
t	x	y	vx	vy	ax	ay	
2.469133E0	3.320330E-1	-1.089215E-1	1.046036E-1	-2.075206E-1	-2.495820E0	-9.925557E-1
2.485817E0	3.333980E-1	-1.124144E-1	5.888274E-2	-2.186228E-1	-2.706610E0	-4.650428E-1
2.502500E0	3.339977E-1	-1.162162E-1	1.411416E-2	-2.257289E-1	-2.354768E0	-3.420652E-1
2.519183E0	3.338689E-1	-1.199462E-1	-2.078324E-2	-2.275318E-1	-2.038129E0	-3.010038E-1
2.535867E0	3.333042E-1	-1.238082E-1	-5.192286E-2	-2.364963E-1	-2.171337E0	-8.198398E-1
2.552550E0	3.321364E-1	-1.278373E-1	-9.321490E-2	-2.539706E-1	-1.767711E0	-1.211308E0
2.569233E0	3.301939E-1	-1.322824E-1	-1.151410E-1	-2.780957E-1	-1.049525E0	-2.071113E0
2.585917E0	3.282945E-1	-1.371164E-1	-1.232113E-1	-3.202667E-1	-1.148096E-1	-2.210364E0
2.602600E0	3.260828E-1	-1.429686E-1	-1.231734E-1	-3.578863E-1	3.690907E-1	-1.513030E0
2.619283E0	3.241847E-1	-1.490579E-1	-1.077360E-1	-3.679935E-1	1.143108E0	2.357339E0
2.635967E0	3.224880E-1	-1.552473E-1	-8.678016E-2	-2.905629E-1	-1.442531E0	7.442951E0
2.652650E0	3.212891E-1	-1.587530E-1	-1.423933E-1	-1.104740E-1	-5.259584E0	7.385036E0
2.669333E0	3.177368E-1	-1.589335E-1	-2.756033E-1	-2.512248E-2	-1.304054E0	3.204615E0
2.686017E0	3.120931E-1	-1.595913E-1	-2.118060E-1	-2.406494E-2	5.646047E0	4.696176E-1
2.702700E0	3.106695E-1	-1.597364E-1	-4.752377E-2	-3.730482E-3	5.969820E0	8.211018E-1
2.719383E0	3.105074E-1	-1.597157E-1	-1.860948E-2	2.393917E-3	9.264947E-1	2.830184E-1
2.736067E0	3.100486E-1	-1.596566E-1	-2.491950E-2	5.108566E-3	-6.149759E-1	9.577453E-2
2.752750E0	3.096759E-1	-1.595453E-1	-3.527371E-2	5.971369E-3	-2.761687E0	1.264988E-3
2.769433E0	3.088716E-1	-1.594573E-1	-1.120168E-1	4.795665E-3	-6.901234E0	-1.687125E0
2.786117E0	3.059383E-1	-1.593853E-1	-2.686649E-1	-4.352368E-2	3.518100E-1	4.796509E-1
2.802800E0	2.999072E-1	-1.609096E-1	-1.481655E-1	-5.122178E-3	5.821065E0	1.307756E0
2.819483E0	3.009945E-1	-1.595562E-1	7.955682E-3	3.777974E-2	4.910481E0	8.085132E-1
2.836167E0	3.001726E-1	-1.596490E-1	-3.340914E-2	-3.188400E-3	-1.220483E0	-1.324765E0
2.852850E0	2.998798E-1	-1.596626E-1	-1.975059E-2	2.895003E-4	-1.500588E0	3.051928E-1
2.869533E0	2.995136E-1	-1.596393E-1	-7.831755E-2	6.273542E-3	-2.959262E0	2.863912E-1
2.886217E0	2.972666E-1	-1.594532E-1	-1.343347E-1	1.109137E-2	-1.426676E0	1.157629E-1
2.902900E0	2.950313E-1	-1.592692E-1	-1.197931E-1	9.621812E-3	7.767048E-1	-2.173279E-1
2.919583E0	2.932695E-1	-1.591322E-1	-1.045648E-1	4.043046E-3	1.494920E0	-1.774057E-1
2.936267E0	2.915424E-1	-1.591343E-1	-7.562690E-2	2.356176E-3	1.349213E0	1.439114E-1
2.952950E0	2.907461E-1	-1.590536E-1	-5.122524E-2	9.487353E-3	8.680857E-1	2.094274E-1
2.969633E0	2.898331E-1	-1.588178E-1	-5.202974E-2	1.079348E-2	3.056591E-1	1.621573E-1
2.986317E0	2.890100E-1	-1.586934E-1	-4.095619E-2	1.255184E-2	7.802761E-1	2.000726E-2
3.003000E0	2.884666E-1	-1.583990E-1	-2.505723E-2	1.392662E-2	1.254817E0	1.029960E-2
3.019683E0	2.881739E-1	-1.582287E-1	-5.629815E-4	1.099092E-2	1.571894E0	-1.011011E-2
3.036367E0	2.884478E-1	-1.580322E-1	2.932486E-2	1.402522E-2	2.254609E0	-3.519032E-1
3.053050E0	2.891524E-1	-1.577608E-1	7.171678E-2	1.840189E-3	3.200869E0	-8.533112E-1
3.069733E0	2.908407E-1	-1.579708E-1	1.375183E-1	-1.810381E-2	3.490929E0	-4.575639E-1
3.086417E0	2.937409E-1	-1.583648E-1	1.917967E-1	-1.427488E-2	1.899881E0	7.723422E-1
3.103100E0	2.972404E-1	-1.584471E-1	2.019667E-1	9.115940E-3	-4.399673E-1	1.952765E0
3.119783E0	3.004799E-1	-1.580607E-1	1.750567E-1	4.976255E-2	-1.374457E0	2.025805E0
3.136467E0	3.030814E-1	-1.567867E-1	1.522782E-1	8.155947E-2	-8.811876E-1	1.803219E0
3.153150E0	3.055609E-1	-1.553393E-1	1.475006E-1	1.050090E-1	-1.945054E-1	1.319761E0
3.169833E0	3.080030E-1	-1.532829E-1	1.460397E-1	1.292158E-1	-2.484720E-1	1.422347E0
3.186517E0	3.104337E-1	-1.510278E-1	1.400755E-1	1.495142E-1	1.741613E-1	1.144871E0
3.203200E0	3.126769E-1	-1.482941E-1	1.483131E-1	1.698119E-1	5.858602E-1	1.006116E0
3.219883E0	3.153825E-1	-1.453617E-1	1.641104E-1	1.818668E-1	6.579314E-1	4.183504E-1
3.236567E0	3.181527E-1	-1.422258E-1	1.684904E-1	1.850752E-1	-2.638104E-1	-1.212317E-1
3.253250E0	3.210044E-1	-1.391864E-1	1.576298E-1	1.768823E-1	-5.516193E-1	-6.468023E-1
3.269933E0	3.234123E-1	-1.363239E-1	1.457335E-1	1.635399E-1	2.716338E-1	-8.775274E-1
3.286617E0	3.258671E-1	-1.337296E-1	1.662641E-1	1.472424E-1	8.266063E-1	-1.083979E0
3.303300E0	3.289599E-1	-1.314109E-1	1.794285E-1	1.277632E-1	3.128303E-1	-1.333873E0
3.319983E0	3.318540E-1	-1.294666E-1	1.724181E-1	1.026883E-1	-8.947446E-1	-1.817155E0
3.336667E0	3.347130E-1	-1.279845E-1	1.527799E-1	6.778298E-2	-2.454448E-1	-2.322052E0
3.353350E0	3.369518E-1	-1.272049E-1	1.559589E-1	2.436828E-2	5.823586E-1	-2.930021E0
